code_length,line_count,avg_line_length,entropy,amsi_keyword_count,has_amsi_keyword,win32_api_count,has_virtualprotect,has_getprocaddress,has_loadlibrary,reflection_count,has_reflection,marshal_op_count,backtick_count,has_format_operator,char_cast_count,string_concat_count,plus_operator_density,has_base64,has_memory_patch_pattern,hex_byte_array,has_page_rwx,dllimport_count,has_add_type,has_registry_amsi,has_ps_downgrade,has_scriptblock_ast,has_hw_breakpoint,has_etw_tamper,has_download_cradle,has_clr_targeting,special_char_ratio,case_ratio,composite_risk,label,label_name,source_id,technique_name
21,1,21.0,3.689703732199547,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.047619047619047616,0.0,2,1,AMSI_Bypass,PL-001,PowerShell Downgrade (v2)
132,1,132.0,4.757344776379935,2,1,0,0,0,0,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19696969696969696,0.20454545454545456,16,1,AMSI_Bypass,PL-002,amsiInitFailed Reflection (Original)
151,1,151.0,4.9934119160076955,0,0,0,0,0,0,5,1,0,0,0,2,0,0.019867549668874173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23178807947019867,0.17894736842105263,10,1,AMSI_Bypass,PL-003,amsiInitFailed Reflection (Base64)
384,1,384.0,5.210307132321372,0,0,0,0,0,0,0,0,0,10,1,0,1,0.013020833333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4557291666666667,0.5894736842105263,0,1,AMSI_Bypass,PL-004,amsiInitFailed Reflection (Heavy Obfuscation)
905,7,129.28571428571428,5.267087336821894,3,1,0,0,0,0,5,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1878453038674033,0.2396551724137931,21,1,AMSI_Bypass,PL-005,amsiInitFailed + ScriptBlock Logging Bypass
775,19,40.78947368421053,5.2753805973724806,0,0,3,1,1,1,0,0,0,0,0,0,0,0.003870967741935484,0,1,1,1,3,1,0,0,0,0,0,0,0,0.17935483870967742,0.16704805491990846,20,1,AMSI_Bypass,PL-006,AmsiScanBuffer Patch - Classic (Rasta Mouse)
1009,15,67.26666666666667,5.3181462141141695,2,1,3,1,1,1,0,0,0,0,0,0,0,0.0,0,1,1,1,3,1,0,0,0,0,0,0,0,0.16154608523290387,0.18833333333333332,26,1,AMSI_Bypass,PL-007,AmsiScanBuffer Patch - Custom Bytes (2024)
357,9,39.666666666666664,5.340058442415176,2,1,2,1,1,0,0,0,0,0,0,0,0,0.0028011204481792717,0,0,1,0,0,0,0,0,0,0,0,0,0,0.19327731092436976,0.32142857142857145,13,1,AMSI_Bypass,PL-008,AmsiScanString RDX Zero Patch (CyberArk)
388,8,48.5,5.148102659253618,3,1,3,1,1,1,0,0,1,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.17010309278350516,0.14107883817427386,22,1,AMSI_Bypass,PL-009,AmsiOpenSession RET Patch
185,8,23.125,4.590511952175386,1,1,0,0,0,0,0,0,0,0,0,0,9,0.05405405405405406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34054054054054056,0.07368421052631578,3,1,AMSI_Bypass,PL-010,String Concatenation Bypass
398,4,99.5,5.4647248588607775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.16331658291457288,0.59375,3,1,AMSI_Bypass,PL-011,COM Server CLSID Hijack
759,16,47.4375,5.365218054033907,8,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16205533596837945,0.44562334217506633,24,1,AMSI_Bypass,PL-012,amsi.dll DLL Hijack
307,5,61.4,5.372916473326361,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1270358306188925,0.4177215189873418,6,1,AMSI_Bypass,PL-013,AMSI Provider Registry Removal
206,1,206.0,5.085070275815036,2,1,0,0,0,0,5,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17475728155339806,0.19548872180451127,18,1,AMSI_Bypass,PL-014,amsiContext Memory Corruption
1382,30,46.06666666666667,4.758217305740064,1,1,0,0,0,0,10,1,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.11360347322720694,0.16097560975609757,27,1,AMSI_Bypass,PL-015,CLR ScanContent Method Hook
453,10,45.3,4.740336007982842,1,1,3,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09271523178807947,0.1254125412541254,13,1,AMSI_Bypass,PL-016,CLR.dll AmsiScanBuffer String Modification
470,13,36.15384615384615,5.264096813103263,1,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.15531914893617021,0.33191489361702126,14,1,AMSI_Bypass,PL-017,Hardware Breakpoint VEH Patchless Bypass
468,11,42.54545454545455,5.143421245450143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002136752136752137,0,0,0,0,0,0,0,0,1,0,0,1,0,0.21794871794871795,0.16117216117216118,5,1,AMSI_Bypass,PL-018,ScriptBlock Smuggling
482,4,120.5,5.231293305192076,0,0,0,0,0,0,5,1,1,0,0,0,12,0.029045643153526972,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26556016597510373,0.2037037037037037,16,1,AMSI_Bypass,PL-019,TrollAMSI Reflection Method Swap
486,11,44.18181818181818,5.168668130312488,1,1,3,1,1,1,0,0,1,0,0,0,0,0.00205761316872428,0,1,0,1,0,0,0,0,0,0,1,0,0,0.15637860082304528,0.17845117845117844,20,1,AMSI_Bypass,PL-020,ETW EtwEventWrite Patch
513,11,46.63636363636363,5.126216323926154,2,1,3,1,1,1,0,0,1,0,0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.14814814814814814,0.12903225806451613,22,1,AMSI_Bypass,PL-021,AmsiScanBuffer Length Zero Patch
